time,.data
2020/02/28/11:00:25.550940,1.3902944
2020/02/28/11:00:25.583863,1.3768832
2020/02/28/11:00:25.617532,1.3813536
2020/02/28/11:00:25.650228,1.3902944
2020/02/28/11:00:25.683740,1.408176
2020/02/28/11:00:25.716852,1.408176
2020/02/28/11:00:25.750133,1.385824
2020/02/28/11:00:25.783960,1.3724128
2020/02/28/11:00:25.817645,1.3768832
2020/02/28/11:00:25.850225,1.3902944
2020/02/28/11:00:25.883299,1.4037056
2020/02/28/11:00:25.917380,1.3992352
2020/02/28/11:00:25.950566,1.3679424
2020/02/28/11:00:25.983613,1.3590016
2020/02/28/11:00:26.018765,1.385824
2020/02/28/11:00:26.051930,1.4126464
2020/02/28/11:00:26.084084,1.3947648
2020/02/28/11:00:26.117938,1.3902944
2020/02/28/11:00:26.150714,1.3768832
2020/02/28/11:00:26.184738,1.3813536
2020/02/28/11:00:26.217457,1.408176
2020/02/28/11:00:26.251353,1.408176
2020/02/28/11:00:26.284202,1.3679424
2020/02/28/11:00:26.317649,1.3679424
2020/02/28/11:00:26.351833,1.3679424
2020/02/28/11:00:26.384817,1.4037056
2020/02/28/11:00:26.417744,1.4260576
2020/02/28/11:00:26.451507,1.4260576
2020/02/28/11:00:26.485439,1.3813536
2020/02/28/11:00:26.517741,1.3768832
2020/02/28/11:00:26.551148,1.3813536
2020/02/28/11:00:26.584883,1.4215872
2020/02/28/11:00:26.617633,1.4171168
2020/02/28/11:00:26.651756,1.3992352
2020/02/28/11:00:26.684313,1.4037056
2020/02/28/11:00:26.717561,1.4037056
2020/02/28/11:00:26.751905,1.4215872
2020/02/28/11:00:26.784666,1.4126464
2020/02/28/11:00:26.818144,1.3947648
2020/02/28/11:00:26.851012,1.3768832
2020/02/28/11:00:26.884893,1.3947648
2020/02/28/11:00:26.917648,1.3992352
2020/02/28/11:00:26.951445,1.4215872
2020/02/28/11:00:26.984672,1.4171168
2020/02/28/11:00:27.018515,1.408176
2020/02/28/11:00:27.051153,1.4037056
2020/02/28/11:00:27.085286,1.4171168
2020/02/28/11:00:27.118191,1.4171168
2020/02/28/11:00:27.151361,1.4260576
2020/02/28/11:00:27.184843,1.4126464
2020/02/28/11:00:27.218427,1.408176
2020/02/28/11:00:27.252484,1.408176
2020/02/28/11:00:27.285839,1.408176
2020/02/28/11:00:27.319560,1.4171168
2020/02/28/11:00:27.353384,1.4171168
2020/02/28/11:00:27.386059,1.4215872
2020/02/28/11:00:27.419412,1.4260576
2020/02/28/11:00:27.453067,1.4260576
2020/02/28/11:00:27.486775,1.4171168
2020/02/28/11:00:27.520249,1.4260576
2020/02/28/11:00:27.552939,1.430528
2020/02/28/11:00:27.586054,1.4349984
2020/02/28/11:00:27.619886,1.4484096
2020/02/28/11:00:27.652807,1.4484096
2020/02/28/11:00:27.685869,1.4484096
2020/02/28/11:00:27.720072,1.4439392
2020/02/28/11:00:27.753115,1.4484096
2020/02/28/11:00:27.786090,1.4484096
2020/02/28/11:00:27.819570,1.4394688
2020/02/28/11:00:27.853583,1.4394688
2020/02/28/11:00:27.886358,1.4573504
2020/02/28/11:00:27.920156,1.4573504
2020/02/28/11:00:27.953349,1.4707616
2020/02/28/11:00:27.986201,1.4707616
2020/02/28/11:00:28.020281,1.4573504
2020/02/28/11:00:28.052792,1.45288
2020/02/28/11:00:28.086855,1.45288
2020/02/28/11:00:28.120312,1.4573504
2020/02/28/11:00:28.153838,1.4707616
2020/02/28/11:00:28.186571,1.4662912
2020/02/28/11:00:28.220572,1.4707616
2020/02/28/11:00:28.254359,1.4707616
2020/02/28/11:00:28.288028,1.475232
2020/02/28/11:00:28.320762,1.497584
2020/02/28/11:00:28.354339,1.4841728
2020/02/28/11:00:28.388002,1.4618208
2020/02/28/11:00:28.421232,1.45288
2020/02/28/11:00:28.454931,1.4662912
2020/02/28/11:00:28.488194,1.5020544
2020/02/28/11:00:28.522065,1.5333472
2020/02/28/11:00:28.554690,1.5109952
2020/02/28/11:00:28.588363,1.4841728
2020/02/28/11:00:28.621466,1.4797024
2020/02/28/11:00:28.654632,1.5020544
2020/02/28/11:00:28.687834,1.5065248
2020/02/28/11:00:28.720913,1.4886432
2020/02/28/11:00:28.755180,1.4797024
2020/02/28/11:00:28.788999,1.4841728
2020/02/28/11:00:28.821616,1.5020544
2020/02/28/11:00:28.855218,1.519936
2020/02/28/11:00:28.888599,1.5154656
2020/02/28/11:00:28.922626,1.5020544
2020/02/28/11:00:28.956526,1.4931136
2020/02/28/11:00:28.988848,1.5109952
2020/02/28/11:00:29.022589,1.519936
2020/02/28/11:00:29.055876,1.519936
2020/02/28/11:00:29.089974,1.5244064
2020/02/28/11:00:29.122811,1.5244064
2020/02/28/11:00:29.157326,1.5288768
2020/02/28/11:00:29.189097,1.5333472
2020/02/28/11:00:29.222797,1.5244064
2020/02/28/11:00:29.256217,1.5154656
